Date,Open,High,Low,Close,Volume,Trend_Normalized,Volatility_Stability,Momentum_Normalized,Vol_Change,EMA_20,EMA_50,SMA_20,RSI_14,Rolling_STD_20,ATR_14,Rolling_Max_50,Rolling_Min_50,MACD_Histogram
2019-12-12,285.206841471859,288.43597254390977,284.971024718016,287.6559143066406,96389600,0.018386771591018748,0.14417605935835812,76.23288375559758,0.0672730504198853,283.1466873056669,278.6099334034842,283.5935943603516,66.02789948889193,0.005011119265735217,2.045435512180059,287.6559143066406,261.71392822265625,-0.07180278702810838
2019-12-13,287.4199981041912,289.05272214678655,286.64899183529326,287.82818603515625,81503900,0.01715969882053503,0.14955157494620228,74.92619342380135,0.07357468870806283,283.592544327523,278.97143350668705,283.9459884643555,65.21513762723214,0.005013336014092226,2.12707348628047,287.82818603515625,261.71392822265625,0.0327264788062136
2019-12-16,289.5516883749544,290.3952475141658,287.7647791043134,289.8056640625,82749700,0.02266211392785958,0.1519145672349341,74.27113334366719,0.08498344897939392,284.1842700165684,279.3963052931895,284.2956604003906,64.82814972036486,0.00499093858562477,2.1588165388536344,289.8056640625,261.71392822265625,0.20190479635660008
2019-12-17,290.1864949241495,290.485812387136,289.7873865193276,289.8690185546875,61097700,0.02052363648088067,0.1509859680165323,72.3774696345419,0.061002245894928864,284.7256746392464,279.80699993089536,284.63807678222656,63.7041926809071,0.004995000178182408,2.129660243912586,289.8690185546875,261.71392822265625,0.2801202059583936
2019-12-18,290.2591048310666,290.4858697567159,289.8327856635954,289.88720703125,48133000,0.01843147626216276,0.1457784604531716,68.68867893796423,0.09601322000969104,285.21724915277053,280.20230217012494,284.98547821044923,61.018597191930446,0.004990084427624725,2.0856021462113694,289.88720703125,264.1992492675781,0.29370080587314895
2019-12-19,290.07772911648044,291.14808077783215,289.823753465592,291.07550048828125,85310500,0.0210783311158375,0.14099935031920016,76.75254696222031,0.020904244184565046,285.7751778513906,280.6287021041703,285.44490814208984,67.5358509417307,0.004887523219139943,2.088193795590452,291.07550048828125,265.9861755371094,0.3400616045007765
2019-12-20,292.1054650052227,293.48186803995895,291.13016050237536,292.3515930175781,147142100,0.023447514653713166,0.13546277941946505,90.77480438158855,-0.043775016626116936,286.4015031053132,281.0884233164608,285.9908142089844,80.4297541601961,0.004863034906581719,2.03396080905357,292.3515930175781,268.4443664550781,0.4093661494453169
2019-12-23,293.13550600154747,293.1901949374519,292.65240185614937,292.7982482910156,52990000,0.02245141302908337,0.1276181462387091,101.97290687421625,-0.16544215421549446,287.010716932523,281.5476321389924,286.5277618408203,91.5875335822787,0.004863207720152863,1.8016572801096515,292.7982482910156,268.4443664550781,0.43555255510765223
2019-12-24,293.0260982506087,293.07166308676193,292.5065255951328,292.8073425292969,20270000,0.020819590781861182,0.11882178324221188,103.25129507098949,-0.21324828731566892,287.5627765131681,281.98918940920043,286.9558609008789,90.44825800015349,0.004675596963130967,1.6755138443339572,292.8073425292969,270.276611328125,0.4044237763316034
2019-12-26,293.1902210059652,294.3752129631039,293.18112472741444,294.3660888671875,30911200,0.023624625400395227,0.10849363148596011,100.8567356366272,-0.19481072458456294,288.21071102307474,282.47455801539604,287.42969970703126,91.17684847571917,0.00475149146784106,1.679304480912813,294.3660888671875,270.276611328125,0.436976185484939
2019-12-27,295.0952934102021,295.1499823509916,293.7644828220485,294.29315185546875,42528800,0.020881335776750203,0.09627085733866478,97.04492376283285,-0.2505010239269069,288.78999110235037,282.9380322836342,287.8363967895508,88.56142746449491,0.004721465913650192,1.56509911163723,294.3660888671875,270.276611328125,0.40261010186451474
2019-12-30,294.37518834855865,294.511910689044,292.18751963133974,292.6706237792969,49729100,0.012777248233863328,0.08433255094291402,87.56064453464015,-0.1928475087005047,289.15957516682147,283.3197025383661,288.2150314331055,83.2091109957133,0.00484024519931523,1.641716534233126,294.3660888671875,270.276611328125,0.2282934188229233
2019-12-31,292.1692833540794,293.6277198137139,291.82290156546304,293.381591796875,57077300,0.015506224772345992,0.07029768320931025,101.44705866866,-0.07979269661991961,289.56167198873135,283.71428643085665,288.7503067016602,86.30710609854684,0.004255061727396247,1.6578981873447927,294.3660888671875,271.219970703125,0.1237943222777016
2020-01-02,294.91296621198353,296.1435228475682,293.9923228046252,296.1252746582031,59151200,0.024699404669206535,0.05991927554000667,106.40283561249156,0.05850688248576663,290.18677700487154,284.2009918515369,289.5175552368164,88.15880336925386,0.004062457883542051,1.7735429359276793,296.1252746582031,271.219970703125,0.1979745119086016
2020-01-03,292.74353546966336,295.00411329960116,292.68884653822107,293.8829345703125,77709700,0.01213516270755501,0.055341517537001464,75.9914517546915,0.0549044763543487,290.538792011104,284.5806758797242,290.0860626220703,72.0775131731279,0.004570088414955931,1.7715058140768423,296.1252746582031,272.0090637207031,0.061611208085130986
2020-01-06,292.13287226263657,295.08621432416686,292.01437027823323,295.0041809082031,55653900,0.014330567471268285,0.05018219831297216,76.2059554429865,0.16237253612434333,290.9640671441611,284.9894407828018,290.685237121582,73.83797198359323,0.004587975677838025,1.8192282236797237,296.1252746582031,272.4534912109375,0.014947514522093641
2020-01-07,294.43897268463854,294.9129805533922,293.7279886988713,294.1746520996094,40496400,0.010546635806513029,0.048334269557448004,69.49177006750291,0.04920318059745399,291.2698371399181,285.3496451481668,291.113671875,65.71165179600303,0.00439559176609462,1.7224942093568245,296.1252746582031,273.5692138671875,-0.09757599406660677
2020-01-08,294.3660286722624,296.9547400028766,294.1199284891358,295.742431640625,68296000,0.014605033037997529,0.04694645087685964,72.7046941050285,0.1310062333015365,291.6957985209378,285.757205402773,291.66539459228517,69.05952164027158,0.004333518895952839,1.875093184066279,296.1252746582031,275.0295715332031,-0.09226747678951952
2020-01-09,297.3011366636997,297.820709338136,296.71775096243204,297.7477722167969,48473300,0.01905206651157931,0.04678653614824884,73.82425565335609,0.11465738279574644,292.27217696816246,286.22742370920537,292.33326110839846,72.59402077518347,0.004402339252347973,1.9768927272370311,297.7477722167969,275.0295715332031,0.014752009551690648
2020-01-10,298.3312381801406,298.4861809242892,296.42616567870095,296.8910217285156,53029300,0.013826016185264132,0.050801799548328815,64.92442529423326,0.14560271222756183,292.71206694533896,286.6456040236881,292.917919921875,67.04063182405932,0.0045490884543118735,2.0294418653333253,297.7477722167969,275.1385192871094,-0.002773765662580363
2020-01-13,297.51086261756024,298.94192708972656,297.0824473403548,298.9328308105469,47086800,0.018879199895694403,0.05497051595676316,67.34985692921636,0.10159444691213615,293.30452064678735,287.12745605454535,293.4817657470703,68.4561323031525,0.004431291203753522,2.004051708871413,298.9328308105469,275.1385192871094,0.08754225430631157
2020-01-14,298.4952711557389,299.54351294484616,297.92100945963375,298.47705078125,62832800,0.015310088685710056,0.06025106527619855,63.355880364813196,0.19596609767030126,293.7971425643552,287.57253820069064,294.014208984375,65.91723649477447,0.004490014848894465,2.0600446778241723,298.9328308105469,277.68731689453125,0.0811270784793674
2020-01-15,298.38584690535674,299.9080685509151,298.3038135068561,299.1515197753906,72056600,0.01623850699740528,0.061958303843589656,66.23736147568752,0.13821935799066587,294.3070832511205,288.0266159095024,294.4815017700195,67.14280530926746,0.004333102597294759,2.1342673601405937,299.1515197753906,278.4945983886719,0.08636390442543274
2020-01-16,300.5278990481638,301.63995361328125,300.30001924233943,301.63995361328125,54050300,0.02087634447329288,0.06849215269227994,63.78603836857008,0.11286862392302455,295.00545185704055,288.56047229004275,295.0700485229492,68.71466708542714,0.0045695389917733975,2.2000218890037098,301.63995361328125,278.4945983886719,0.2141956140442911
2020-01-17,302.3510080804288,302.7885196066415,301.57621099627295,302.5788879394531,95846000,0.021578356315103672,0.07315877461453275,65.57035800864557,0.07795702181703845,295.726731483937,289.1102140802157,295.7046325683594,70.40862807944352,0.004552270525765685,2.1876511091055266,302.5788879394531,278.5580139160156,0.31279263818528724
2020-01-21,301.62178693577914,302.78853074420584,301.5488776178504,301.98638916015625,77742400,0.017562367850429236,0.07710667067778383,68.15609705597733,0.052951787098969305,296.3228893578626,289.61516212256635,296.25017700195315,74.17222948093598,0.004617128282614559,2.110169828294898,302.5788879394531,279.5376281738281,0.2894519081314808
2020-01-22,302.84318902456715,303.49038781097767,301.8678844320141,302.0228271484375,48914900,0.016066326249103178,0.07927631346148635,67.7318449782368,0.018010609287628432,296.86574057601257,290.1017372216201,296.7337387084961,73.23533369876682,0.004592413863000279,2.097147337631522,302.5788879394531,279.69195556640625,0.23038407146055828
2020-01-23,301.3756489009387,302.77939649699647,300.2635941747511,302.36920166015625,51963000,0.015528063512743077,0.08066261184632137,64.24570459429228,-0.025629706470340574,297.3898797268834,290.58281425842546,297.2122863769531,69.2740882534144,0.004593687462281025,2.0795667141709617,302.5788879394531,279.69195556640625,0.17127394307113564
2020-01-24,303.0254328321711,303.1074662187742,298.3948999055085,299.6801452636719,87578400,0.0057855229218271124,0.09081889501144881,56.01736712600745,-0.013319161453583583,297.6080002541966,290.9395723370626,297.55592651367186,67.41485684949717,0.0051552307564134165,2.1707194422626515,302.5788879394531,280.2814636230469,-0.07886851954594354
2020-01-27,294.4481411214826,296.3532135264237,294.1108833593813,294.8765563964844,84062500,-0.005699462503857867,0.1347540330701757,34.072717117545096,0.07380304947518668,297.3478627439383,291.0939638688046,297.5814498901367,49.68606808914406,0.006328107630081536,2.349106432145289,302.5788879394531,280.3721618652344,-0.5703982321518151
2020-01-28,296.298487210109,298.84163406721996,294.9676767051918,297.9665832519531,63834000,0.0012305619820558442,0.17287396836405175,38.176264025701414,0.20424889282100134,297.4067885066064,291.3634783544183,297.76512145996094,58.393952495473826,0.0067378817589479265,2.5411696793884135,302.5788879394531,280.7803039550781,-0.6824058294082409
2020-01-29,299.3247726958283,299.55265256689614,297.5199541027187,297.7204895019531,53888900,0.0006466992636329926,0.19452041096933395,37.03765769526311,0.18440695394303197,297.43666479187755,291.6127729092236,298.0176147460937,54.65084073469751,0.006592459200665058,2.48387589013389,302.5788879394531,280.7803039550781,-0.7620127763301201
2020-01-30,295.66036446661803,298.89627442765044,294.9129398382602,298.6866149902344,75491800,0.0026082485769019057,0.20359354608482075,35.905827077920975,0.25985445167862675,297.5557076679115,291.890178481028,298.2828659057617,52.32083744481561,0.006605085096159683,2.6199513824109806,302.5788879394531,280.7803039550781,-0.7380407145468522
2020-01-31,298.06678837146853,298.22175888029057,292.3515728105219,293.2630920410156,113845600,-0.007995167534790525,0.22326897146390406,26.109799727154023,0.3476225403338815,297.1468871320167,291.9440182284785,298.13975677490237,42.68360531841825,0.007552595006595236,2.9253104491341406,302.5788879394531,280.7803039550781,-1.0564942836752809
