Date,Open,High,Low,Close,Volume
2019-08-08,261.49509755220527,265.1066589355469,260.9443476671785,265.1066589355469,87713900
2019-08-09,264.1676704197368,264.7635814112252,261.5222080674551,263.3009033203125,93730000
2019-08-12,261.80209060429195,263.29185424173795,259.1475906449031,260.09564208984375,65527600
2019-08-13,259.79763351897674,265.58516336808646,259.4545308129541,264.1405334472656,94299800
2019-08-14,260.09556938065884,260.70049034452813,256.20411507951735,256.33050537109375,135622100
2019-08-15,257.215365095548,257.9015704661981,254.96717731036955,257.0076904296875,99556600
2019-08-16,258.660050411632,261.23326599547846,257.0619167770849,260.7998962402344,83018300
2019-08-19,263.815534727368,264.6190928142968,263.13836696189935,263.9419250488281,53571800
2019-08-20,263.4362519312439,263.9689538188934,261.79301278192634,261.9194030761719,51596400
2019-08-21,264.077348056287,264.4204232030708,263.39114265467236,264.0502624511719,49524700
2019-08-22,264.75450123640525,265.38650783914835,262.1993065597355,263.9689636230469,51666400
2019-08-23,262.6688127245855,264.3301272824833,255.94227013252467,257.1882629394531,149161500
2019-08-26,259.3733202614595,260.0324401855469,257.84743325188174,260.0324401855469,72423800
2019-08-27,261.4227829094938,261.79297112248156,258.2536301365124,259.0120544433594,66668900
2019-08-28,258.3529896937288,260.9984511070822,257.5494042686789,260.8359375,59696700
2019-08-29,263.3911606210267,264.6913248632864,262.3889380553566,264.1676330566406,57899400
2019-08-30,265.64836826101157,265.66641614641384,263.12028660352104,264.0502624511719,62901200
2019-09-03,262.3528717175835,263.2647722903244,261.1790976581127,262.50634765625,69101400
2019-09-04,264.6732441815311,265.50388772814705,263.9238298917129,265.48583984375,46887300
2019-09-05,267.96879736456265,269.8106735830968,265.44972592383255,268.8987731933594,83258100
2019-09-06,269.2148152948554,269.74751727016104,268.5376475637681,269.1064453125,49584300
2019-09-09,270.09069320094045,270.18096021299755,268.3029599868757,269.2419738769531,51260300
2019-09-10,268.4834677166774,269.24191987648885,267.22846442804376,269.1787109375,57947100
2019-09-11,269.4857210476575,271.17412182646217,268.83563880380444,271.0928649902344,68821100
2019-09-12,271.9956454793237,273.0881347966629,271.2372210938471,272.0317687988281,72908700
2019-09-13,272.4741621192971,272.82630246980784,271.48097753915954,271.8511657714844,62104800
2019-09-16,270.72254318691955,271.8963167578884,270.3704304034408,271.011474609375,58191200
2019-09-17,270.8129723529359,271.7880819460408,270.64142095768113,271.69781494140625,41475500
2019-09-18,271.30945217296875,271.968571901471,269.27794933684083,271.8602294921875,73375800
2019-09-19,272.2485052514616,273.24169007108816,271.5081286082832,271.8421936035156,76560500
2019-09-20,272.44441106611964,272.7256250118713,269.7686018264229,270.5577392578125,89565000
2019-09-23,269.89566087758845,271.2109087987867,269.6416852140578,270.49432373046875,43476800
2019-09-24,271.5827953011382,271.9728243964235,267.41031441968806,268.3717956542969,94869400
2019-09-25,268.45338400504926,270.40355684518136,266.9748722488337,269.9591064453125,71854000
2019-09-26,269.9682111328825,270.17681716965757,267.99082742388725,269.3967590332031,56179700
2019-09-27,270.1496138053091,270.2584842358922,266.394400547626,267.9454650878906,84746600
2019-09-30,268.4625344992536,269.8956770404428,268.41719257426433,269.18817138671875,51662400
2019-10-01,270.06794415591315,270.72102824217234,265.76849006877796,265.9861755371094,88242400
2019-10-02,264.4079159140389,264.4169953695027,259.9996188362365,261.2876281738281,122539500
2019-10-03,261.0609342690708,263.455585936669,258.3488337490657,263.4283752441406,85278800
2019-10-04,264.0813879558739,267.2470176140269,264.0269389043035,266.9930419921875,65091200
2019-10-07,266.19480049123445,267.818445039267,265.5598476544299,265.8410339355469,59610500
2019-10-08,263.99065687623875,264.72537300214316,261.67763808472165,261.71392822265625,95708100
2019-10-09,263.7275882237998,265.13351958206624,263.10171486269707,264.1992492675781,62359400
2019-10-10,264.1176347838915,266.86602454663546,263.954370682643,265.9861755371094,55296300
2019-10-11,268.7346034051052,270.9750422719158,268.6167088805522,268.7436828613281,98720400
2019-10-14,268.42620754255415,269.0974506367518,268.0996792923519,268.4443664550781,40394800
2019-10-15,269.4874853651235,271.8458464973218,269.3695631563232,271.10205078125,46754500
2019-10-16,270.63941529110076,271.3560002499491,270.23125500917473,270.6666259765625,48928200
2019-10-17,271.8276926759577,272.33564398394304,270.7754999147679,271.4648742675781,45736600
2019-10-18,270.9296954952778,271.5737002063706,269.4239728965291,270.276611328125,64304000
2019-10-21,271.59188362078226,272.3084410011963,271.15648490964367,272.10888671875,39048600
2019-10-22,272.6440336093649,272.93429940069217,271.12925918317654,271.219970703125,48594700
2019-10-23,270.965950615548,272.0634850874928,270.75731692201106,272.0090637207031,34352200
2019-10-24,272.94331115214135,273.0884440118041,271.62806364231596,272.4534912109375,35453100
2019-10-25,271.8820684135941,274.1134552290327,271.82764704553614,273.5692138671875,45205400
2019-10-28,274.7846473563298,275.61007494387354,274.7574366745982,275.1111755371094,42147000
2019-10-29,274.8390967416614,275.9547901689378,274.7120950931229,275.0295715332031,44284900
2019-10-30,275.229106138278,276.24500852902196,273.9229380126746,275.8731384277344,49643900
2019-10-31,275.86418395301934,275.86418395301934,273.6872453178426,275.1385192871094,69053800
2019-11-01,276.5807027657832,277.7326588147076,276.41741095435447,277.68731689453125,71141500
2019-11-04,279.2383466387265,279.37440006354313,278.4310501827038,278.8029479980469,60606900
2019-11-05,279.0025497152499,279.30189498204095,278.2043325788355,278.4945983886719,42933200
2019-11-06,278.4945130993228,278.83012072860964,277.61466416358525,278.5580139160156,46487100
2019-11-07,279.89139471405895,280.8710069278483,279.0659671347833,279.5376281738281,54272300
2019-11-08,279.1928981296516,280.2813805830602,278.4944722921573,280.2269592285156,49032100
2019-11-11,278.8483964128372,279.8642991803106,278.71231526828956,279.69195556640625,35797300
2019-11-12,280.0546986848405,281.1794439203386,279.5104572968919,280.2814636230469,46484600
2019-11-13,279.2927585959564,280.77127035209,279.0659936684823,280.3721618652344,53917700
2019-11-14,280.09095744342886,280.8619636831978,279.4560046150865,280.7803039550781,51219900
2019-11-15,282.1137714747029,282.85756726611123,281.4244247462533,282.8122253417969,62023600
2019-11-18,282.576240627735,283.2565352423828,282.12271088463643,283.02069091796875,49228000
2019-11-19,283.61947336896316,283.6285528256652,282.2951737101685,282.9391784667969,67804700
2019-11-20,282.34951110935566,282.8665417247279,280.33583769061437,281.88690185546875,79406200
2019-11-21,281.9958720828886,282.1047148443882,280.6352822016,281.4334716796875,54664700
2019-11-22,282.1772178522817,282.31327128023827,281.05247260615073,282.0592956542969,44850200
2019-11-25,282.98456243967775,284.245361328125,282.98456243967775,284.245361328125,48647200
2019-11-26,284.2815982160428,285.07073576578375,283.9641217688007,284.8893127441406,37569000
2019-11-27,285.37004499703744,286.1592102050781,285.15235952241426,286.1592102050781,44444600
2019-11-29,285.5968026686247,285.84172650261706,284.87116598414514,285.0979309082031,36592700
2019-12-02,285.3518958206147,285.4153966404745,282.24976727728045,282.67608642578125,75767800
2019-12-03,279.9639558052549,280.8619636831978,278.5852351006926,280.7803039550781,73941700
2019-12-04,281.82344036418806,283.11144954756696,281.47875327303325,282.5127868652344,49080000
2019-12-05,283.2111933405764,283.22932456504725,281.71452304334423,283.02069091796875,40709000
2019-12-06,284.92566208065074,286.00506561677,284.91658262330225,285.60595703125,48927000
2019-12-09,285.21592864485524,285.88714413985167,284.63539699848997,284.7079772949219,34838500
2019-12-10,284.6534969724014,285.3156328729228,283.73735776823526,284.39044189453125,52649800
2019-12-11,284.84407873714247,285.45182117673863,284.30891660620586,285.1978454589844,53429100
2019-12-12,285.206841471859,288.43597254390977,284.971024718016,287.6559143066406,96389600
2019-12-13,287.4199981041912,289.05272214678655,286.64899183529326,287.82818603515625,81503900
2019-12-16,289.5516883749544,290.3952475141658,287.7647791043134,289.8056640625,82749700
2019-12-17,290.1864949241495,290.485812387136,289.7873865193276,289.8690185546875,61097700
2019-12-18,290.2591048310666,290.4858697567159,289.8327856635954,289.88720703125,48133000
2019-12-19,290.07772911648044,291.14808077783215,289.823753465592,291.07550048828125,85310500
2019-12-20,292.1054650052227,293.48186803995895,291.13016050237536,292.3515930175781,147142100
2019-12-23,293.13550600154747,293.1901949374519,292.65240185614937,292.7982482910156,52990000
2019-12-24,293.0260982506087,293.07166308676193,292.5065255951328,292.8073425292969,20270000
2019-12-26,293.1902210059652,294.3752129631039,293.18112472741444,294.3660888671875,30911200
2019-12-27,295.0952934102021,295.1499823509916,293.7644828220485,294.29315185546875,42528800
2019-12-30,294.37518834855865,294.511910689044,292.18751963133974,292.6706237792969,49729100
2019-12-31,292.1692833540794,293.6277198137139,291.82290156546304,293.381591796875,57077300
2020-01-02,294.91296621198353,296.1435228475682,293.9923228046252,296.1252746582031,59151200
2020-01-03,292.74353546966336,295.00411329960116,292.68884653822107,293.8829345703125,77709700
2020-01-06,292.13287226263657,295.08621432416686,292.01437027823323,295.0041809082031,55653900
2020-01-07,294.43897268463854,294.9129805533922,293.7279886988713,294.1746520996094,40496400
2020-01-08,294.3660286722624,296.9547400028766,294.1199284891358,295.742431640625,68296000
2020-01-09,297.3011366636997,297.820709338136,296.71775096243204,297.7477722167969,48473300
2020-01-10,298.3312381801406,298.4861809242892,296.42616567870095,296.8910217285156,53029300
2020-01-13,297.51086261756024,298.94192708972656,297.0824473403548,298.9328308105469,47086800
2020-01-14,298.4952711557389,299.54351294484616,297.92100945963375,298.47705078125,62832800
2020-01-15,298.38584690535674,299.9080685509151,298.3038135068561,299.1515197753906,72056600
2020-01-16,300.5278990481638,301.63995361328125,300.30001924233943,301.63995361328125,54050300
2020-01-17,302.3510080804288,302.7885196066415,301.57621099627295,302.5788879394531,95846000
2020-01-21,301.62178693577914,302.78853074420584,301.5488776178504,301.98638916015625,77742400
2020-01-22,302.84318902456715,303.49038781097767,301.8678844320141,302.0228271484375,48914900
2020-01-23,301.3756489009387,302.77939649699647,300.2635941747511,302.36920166015625,51963000
2020-01-24,303.0254328321711,303.1074662187742,298.3948999055085,299.6801452636719,87578400
2020-01-27,294.4481411214826,296.3532135264237,294.1108833593813,294.8765563964844,84062500
2020-01-28,296.298487210109,298.84163406721996,294.9676767051918,297.9665832519531,63834000
2020-01-29,299.3247726958283,299.55265256689614,297.5199541027187,297.7204895019531,53888900
2020-01-30,295.66036446661803,298.89627442765044,294.9129398382602,298.6866149902344,75491800
2020-01-31,298.06678837146853,298.22175888029057,292.3515728105219,293.2630920410156,113845600
2020-02-03,294.7398209430448,297.3011883827756,294.62131896327486,295.4416809082031,69083000
2020-02-04,299.0421238964606,300.8104734483571,298.723086598825,299.94451904296875,62573200
2020-02-05,302.87059303020703,303.618045742721,301.4121839936726,303.40838623046875,65951100
2020-02-06,304.3654777307045,304.62070207645655,303.35367662683126,304.4292907714844,50359700
2020-02-07,303.3718697108561,304.4383317479117,302.25981501693957,302.8067321777344,64139400
2020-02-10,301.92253597033135,305.13107376686384,301.88606741089336,305.0672607421875,42070000
2020-02-11,306.41633961218275,307.2002328793031,305.0672809970112,305.5959777832031,54864500
2020-02-12,307.02702899526753,307.77448148627434,306.6624268441835,307.5648498535156,43992700
2020-02-13,306.1428600443528,308.20290257264736,305.8694153801374,307.2366943359375,54501900
2020-02-14,307.64693997585454,307.84747536853007,306.4528517159032,307.7289733886719,64582200
2020-02-18,306.73540821888315,307.7927740817303,305.5504162851949,306.9359436035156,57226200
2020-02-19,307.90211788539574,309.07795777585227,307.61954912250815,308.4034423828125,48814700
2020-02-20,307.85655491074664,308.67694462905206,304.1557883522253,307.136474609375,74163400
2020-02-21,305.78739481387316,306.09730805211063,303.1530905628107,303.9734802246094,113788200
2020-02-24,294.5483849080448,304.0464012409805,292.8164758374308,293.89208984375,161088400
2020-02-25,295.27757219253857,295.8882745622072,284.1114604678439,284.98651123046875,218913200
2020-02-26,286.38118955607183,289.9634545114292,283.2091195022636,283.9383239746094,194773800
2020-02-27,278.43268874388383,283.9929622601153,271.1861267089844,271.1861267089844,284353500
2020-02-28,263.15560884540804,271.5324726677233,260.2752047841163,270.04669189453125,384975800
2020-03-02,271.8241515658398,281.80529862026447,268.40595433040124,281.7414855957031,238703600
2020-03-03,282.11517570579525,286.07116546161603,271.2407589694564,273.67449951171875,300139100
2020-03-04,279.0343161033958,285.3967315712866,276.49116917188974,285.1779479980469,176613400
2020-03-05,277.995197331708,281.17639114422417,273.46494478951723,275.6981506347656,186366800
2020-03-06,267.2118873410211,272.3437456449538,264.5502664620457,271.1405334472656,228667200
2020-03-09,250.94126219037892,259.04468244351574,249.25497367188592,249.96595764160156,309417300
2020-03-10,259.4549092564181,262.9915813511426,249.30056924454237,262.90045166015625,276444100
2020-03-11,255.863530672836,256.9938059331485,246.91240265024598,250.08447265625,255316300
2020-03-12,233.3489613279396,243.06576125881952,225.76511340861424,226.15707397460938,392220700
2020-03-13,239.81168618296002,247.45934891414748,226.53085295661577,245.49046325683594,329566100
2020-03-16,219.84023822786799,234.16932404862888,216.35824141554718,218.6279296875,297240000
2020-03-17,223.35866962977036,233.50389718402428,216.09387404457632,230.43206787109375,262070500
2020-03-18,215.34646582603455,226.39407689191867,207.84466479454713,218.76466369628906,327597100
2020-03-19,218.0809829271714,225.49163896080339,211.67300364288351,219.2294921875,289322000
2020-03-20,222.37079573833208,224.1495443005765,209.50697679443658,209.78204345703125,347158800
2020-03-23,209.22268050674896,210.58882164978553,200.11806218300114,204.41822814941406,326025200
2020-03-24,214.9349002864805,223.81030151692397,214.36643944810632,222.9392547607422,235494500
2020-03-25,224.5162200852684,235.04200407098807,219.82180274754663,226.27662658691406,299430300
2020-03-26,228.77973377835932,240.95587614121874,228.34879937507776,239.4888916015625,257632800
2020-03-27,232.21804924789328,239.13131375893414,230.18257586335054,232.35557556152344,224341200
2020-03-30,234.44605962945386,240.61665407010992,232.45643301160396,239.9014892578125,171369500
2020-03-31,238.90208181788717,241.4418275508448,234.92282878626662,236.32565307617188,194881100
2020-04-01,227.36774076850008,236.24314028710725,223.62687128450554,225.68984985351562,189554600
2020-04-02,224.80967193777292,231.67708998353663,224.2595386780604,230.8977508544922,177660400
2020-04-03,229.9166909570072,232.26391415318625,224.83718484688495,227.56031799316406,135561200
2020-04-06,236.40815247528656,244.80677011871967,227.54193143111638,242.84463500976562,188061200
2020-04-07,251.4174604431951,252.16930817093797,242.8721667882083,243.0922088623047,201427200
2020-04-08,245.6870219261838,253.05874090906812,243.20228632655915,251.2524871826172,153774500
2020-04-09,254.50742362725188,257.8265512385249,252.57282112817146,255.07591247558594,189999200
2020-04-13,254.10395500418002,254.44319588474661,248.8502262862596,252.74696350097656,114839100
2020-04-14,257.6248340505204,261.2189863290575,252.6095016366842,260.2012634277344,134143400
2020-04-15,254.4981997482188,260.3387165438089,252.5635698315606,254.6724090576172,121775000
2020-04-16,255.94695583827448,256.7538144297248,252.83874828819563,255.901123046875,131798300
2020-04-17,261.65902364519036,263.4194162623719,258.9267132107058,262.8143005371094,146684800
2020-04-20,259.1192277447229,262.95180422099605,257.9639789331066,258.18402099609375,100109300
2020-04-21,253.7280752057677,254.92918511748837,249.40955259580767,250.34478759765625,126385700
2020-04-22,255.2134632901999,257.64318883426245,253.893154318908,255.901123046875,92951600
2020-04-23,257.17549374033564,260.33873886010645,255.58013253954968,255.8826904296875,104709700
2020-04-24,257.39554010912246,260.1186727932332,255.35088916404356,259.4493408203125,85063200
